id	gcf	scf	bs	edge_len	gn	sn
886	31.72	57.37	1	0.004783075	1094	6470.85
887	0	37.24	0.907	0.003062532	1177	6312.24
888	0.25	38.57	1	0.007907904	1178	5405.67
889	0.35	44.93	1	0.00699755	1153	5740.81
890	14.59	46.06	1	0.006068453	1110	6901.46
891	0.61	39.69	1	0.003947273	1145	6671.36
892	3.19	38.71	1	0.005848661	1127	5962.18
893	25.52	54.76	1	0.004823711	1109	6155.58
894	0	35.43	0.833	0.003206	1150	6199.71
895	0.17	37.51	1	0.006169867	1156	5948.06
896	5.2	35.06	1	0.005488415	1116	6354.07
897	0.44	34.97	1	0.004512444	1143	6033.28
898	3.15	31.53	0.625	0.005470361	1112	6002.94
899	5.97	35.97	1	0.004800754	1105	5981.43
900	0	36.34	0.871	0.004518412	1158	5244.05
901	0.97	37.21	1	0.005687353	1136	5164.16
902	4.5	34.65	0.957	0.005042461	1110	4240.98
903	27.48	57.9	1	0.004329656	393	2142.82
904	0	39.96	1	0.002691262	1151	5187.73
905	0	35.78	1	0.005401715	1153	6099.35
906	0	35.61	1	0.005383454	1156	5891.38
907	0	35.95	1	0.005235179	1154	5579.95
908	1.96	33.04	1	0.004829092	1069	5412.32
909	0	36.14	0.964	0.003985084	1150	5676.72
910	3.29	35.77	1	0.004510852	1126	5639.23
911	0	32.94	0.832	0.003554615	1154	5375.48
912	0.09	33.99	0.793	0.004486907	1146	5065.14
913	3.31	36	1	0.004125336	1117	5735.33
914	2.96	35.31	1	0.003739669	1116	5484.05
915	0.18	34.82	1	0.003325059	1114	4795.61
916	7.16	39.72	1	0.004416743	824	4068.78
917	2.71	34.09	1	0.003436446	1072	4688.21
918	0.09	33.96	0.592	0.003787194	1148	5801.66
919	15.52	50.11	1	0.004878323	1134	6140.7
920	2.85	33.81	1	0.003149493	1124	6170.64
921	0.7	36.54	1	0.003985483	1145	5815.09
922	16.1	48.54	1	0.004826203	1124	6065.63
923	3.95	32.1	0.995	0.003185343	1114	5941.9
924	1.25	30.05	0.903	0.004183781	1118	5957.98
925	0.69	32.93	1	0.004664812	1159	4962.95
926	21.67	59.3	1	0.006437119	1112	5318.3
927	18.66	40.12	1	0.0038809	418	2203.5
928	48.36	63.56	1	0.003837359	397	2093.33
929	2.47	37.19	1	0.001993226	1133	5189.89
930	10.52	40.16	1	0.005860021	1093	6228.51
931	0.09	40.02	1	0.005409019	1174	6173.31
932	0	40.63	1	0.007157818	1155	5609.07
933	3.84	50.58	1	0.00638198	1145	5649.22
934	2.62	40.4	1	0.005398684	1147	5919.28
935	3.35	34.86	0.765	0.00481396	1133	5752.68
936	14.36	41.59	1	0.004617769	1114	5889.96
937	10.05	35.04	1	0.00363052	1124	5754.57
938	14.52	38.9	1	0.003952802	1116	6251.99
939	8.03	42.64	1	0.004164437	1121	4847.52
940	22.58	47.35	1	0.005019382	682	3775.55
941	0	35.6	1	0.004235692	1172	5943.63
942	0	33.27	0.996	0.006614915	1157	6381.35
943	42.84	71.64	1	0.006205199	1139	7650.83
944	0.09	36.41	1	0.002506175	1157	6186.93
945	0.09	36.14	1	0.005916637	1132	6309.32
946	0.62	35.98	1	0.005132189	1130	5172.06
947	0.26	36.03	1	0.005570526	1149	4678.02
948	0.98	37.47	1	0.005306548	1127	6041.81
949	12.72	47.07	1	0.004676705	1101	6119.88
950	0	33.68	1	0.003298691	1149	6028.04
951	0.35	37.39	1	0.00550895	1148	6114.4
952	11.84	54.91	1	0.004910299	1132	6107.42
953	19.96	35.91	1	0.003065638	1117	5494.7
954	0.35	33.17	0.864	0.002793963	1144	5784.5
955	8.5	52.29	1	0.004832858	1129	5875.71
956	24.26	42.39	1	0.003331732	1117	5335.27
957	27.6	62.22	1	0.002537029	1116	6070.76
958	0	34.37	1	0.002580109	1143	6012.42
959	25.76	59.32	1	0.005376166	1118	6267.81
960	0.18	35.02	1	0.003092893	1136	6006
