sample	data_type	target_file
E_conglobata_conglobata_5	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_conica	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_conica_x_E_microcarpa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_conveniens	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_coolabah	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_coolabah_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cooperiana_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cooperiana_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cooperiana_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cordata_quadrangulosa_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cordata_quadrangulosa_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cornuta	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_corrugata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_corynodes	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cosmophylla_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cosmophylla_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cretata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_crucis_lanceolata_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_crucis_lanceolata_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_crucis_lanceolata_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_crucis_lanceolata_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_crucis_praecipua	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cullenii	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cupularis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_curtisii_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cyclostoma	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cylindriflora	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cylindrocarpa_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cylindrocarpa_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dalrympleana_Tasmania_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dalrympleana_Tasmania_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dalrympleana_heptantha_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dalrympleana_heptantha_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dawsonii	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dawsonii_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_deanei	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_decipiens_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_decipiens_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_decipiens_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
