file	sum_len	cov
E_megacornuta	18931898224	37.863796448
E_erythronema_inornata	18938413202	37.876826404
E_glaucina_1	18967898346	37.935796692
E_olivina_1	18985969726	37.971939452
E_horistes_horistes_3	18988422604	37.976845208
E_calcareana_2	18990349402	37.980698804
E_desmondensis	19021240802	38.042481604
E_agglomerata	19033269314	38.066538628
E_optima	19114877740	38.22975548
E_yilgarnensis_3	19123736870	38.24747374
E_mannensis_mannensis	19130568206	38.261136412
E_blaxellii_1	19174829506	38.349659012
C_trachyphloia_trachyphloia_2	19181002984	38.362005968
E_sp_Cable_Haul_Road_1	19187203198	38.374406396
E_leucoxylon_megalocarpa_2	19198501676	38.397003352
E_websteriana_5	19202096254	38.404192508
E_camaldulensis_simulata	19210930416	38.421860832
E_myriadena_1	19245623498	38.491246996
E_leptopoda_arctata_1	19251327064	38.502654128
E_oraria_2	19253128488	38.506256976
E_recta_1	19287520700	38.5750414
E_xerothermica_2	19320120366	38.640240732
E_caesia_caesia_2	19328223900	38.6564478
E_gomphocephala	19334587862	38.669175724
E_sheathiana_4	19375979472	38.751958944
C_tessellaris_1	19377788982	38.755577964
E_rosacea_1	19400019480	38.80003896
E_viminalis_hentyensis_2	19401124798	38.802249596
E_sp_Queen_Victoria_Spring_1	19424159908	38.848319816
E_falcata	19431648880	38.86329776
E_behriana_x_E_xodorata	19440247730	38.88049546
E_dorrigoensis_x_E_xsaligna	19447640300	38.8952806
E_arborella	19474843112	38.949686224
E_calcareana_1	19480633678	38.961267356
E_sheathiana_1	19484460628	38.968921256
E_caesia_Boyagin_Rock_2	19491895222	38.983790444
E_loxophleba_supralaevis_2	19518217690	39.03643538
C_candida	19518506180	39.03701236
E_apodophylla_2	19550976554	39.101953108
E_brockwayi	19557188894	39.114377788
E_angulosa_3	19582502290	39.16500458
C_papillosa	19603300638	39.206601276
E_diminuta_3	19608095262	39.216190524
E_camaldulensis_arida_3	19632079900	39.2641598
E_sporadica_1	19638347152	39.276694304
E_websteriana_2	19656970566	39.313941132
E_cosmophylla_2	19684417314	39.368834628
E_drepanophylla_4	19687755656	39.375511312
E_oleosa_ampliata_2	19712058298	39.424116596
E_staeri	19731149564	39.462299128
C_ptychocarpa_ptychocarpa	19756678944	39.513357888
E_virginea	19772233226	39.544466452
E_wimmerensis	19807114774	39.614229548
E_x_alpina_1	19809687790	39.61937558
