tip_label	genus	subgenus	section
E_petrensis	Eucalyptus	Symphyomyrtus	Bisectae
E_phaenophylla_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_phaenophylla_3	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_phaenophylla_4	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_phenax_compressa	Eucalyptus	Symphyomyrtus	Dumaria
E_phenax_phenax	Eucalyptus	Symphyomyrtus	Dumaria
E_pileata_1	Eucalyptus	Symphyomyrtus	Dumaria
E_pileata_2	Eucalyptus	Symphyomyrtus	Dumaria
E_pileata_3	Eucalyptus	Symphyomyrtus	Dumaria
E_pileata_4	Eucalyptus	Symphyomyrtus	Dumaria
E_pimpiniana	Eucalyptus	Symphyomyrtus	Dumaria
E_planipes_1	Eucalyptus	Symphyomyrtus	Dumaria
E_planipes_2	Eucalyptus	Symphyomyrtus	Dumaria
E_planipes_3	Eucalyptus	Symphyomyrtus	Dumaria
E_planipes_4	Eucalyptus	Symphyomyrtus	Dumaria
E_planipes_5	Eucalyptus	Symphyomyrtus	Dumaria
E_platydisca	Eucalyptus	Eucalyptus	'Frutices' ms
E_platyphylla	Eucalyptus	Symphyomyrtus	Exsertaria
E_platypus_platypus_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_platypus_platypus_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_pluricaulis_pluricaulis	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_pluricaulis_porphyrea	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_polybractea_1	Eucalyptus	Symphyomyrtus	Adnataria
E_polybractea_2	Eucalyptus	Symphyomyrtus	Adnataria
E_populnea_bimbil	Eucalyptus	Symphyomyrtus	Adnataria
E_porosa	Eucalyptus	Symphyomyrtus	Adnataria
E_praetermissa	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_preissiana_lobata_1	Eucalyptus	Eucalyptus	'Frutices' ms
E_preissiana_lobata_2	Eucalyptus	Eucalyptus	'Frutices' ms
E_preissiana_lobata_3	Eucalyptus	Eucalyptus	'Frutices' ms
E_prominens	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_propinqua	Eucalyptus	Symphyomyrtus	Exsertaria
E_protensa	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_pruinosa_pruinosa	Eucalyptus	Symphyomyrtus	Adnataria
E_pterocarpa	Eucalyptus	Symphyomyrtus	Dumaria
E_pulverulenta	Eucalyptus	Symphyomyrtus	Maidenaria
E_punctata_1	Eucalyptus	Symphyomyrtus	Pumilio
E_pyriformis	Eucalyptus	Symphyomyrtus	Bisectae
E_pyrocarpa	Eucalyptus	Eucalyptus	Eucalyptus
E_quadrans	Eucalyptus	Symphyomyrtus	Bisectae
E_quaerenda_1	Eucalyptus	Symphyomyrtus	Bisectae
E_quaerenda_2	Eucalyptus	Symphyomyrtus	Bisectae
E_rameliana	Eucalyptus	Symphyomyrtus	Bisectae
E_raveretiana	Eucalyptus	Symphyomyrtus	Domesticae
E_ravida	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_recta_1	Eucalyptus	Symphyomyrtus	Bisectae
E_recta_2	Eucalyptus	Symphyomyrtus	Bisectae
E_reducta	Eucalyptus	Eucalyptus	Eucalyptus
E_redunca	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_relicta	Eucalyptus	Symphyomyrtus	Bisectae
E_remota	Eucalyptus	Eucalyptus	Eucalyptus
E_repullulans	Eucalyptus	Symphyomyrtus	Dumaria
E_revelata_ms	Eucalyptus	?	?
E_rigens	Eucalyptus	Symphyomyrtus	Dumaria
E_rigidula_1	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_10	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_11	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_12	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_13	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_2	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_4	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_5	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_6	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_7	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_8	Eucalyptus	Symphyomyrtus	Bisectae
E_rigidula_9	Eucalyptus	Symphyomyrtus	Bisectae
E_robusta_x_E_tereticornis	Eucalyptus-H	Symphyomyrtus-H	Latoangulatae-H
E_rosacea_1	Eucalyptus	Symphyomyrtus	Bisectae
E_rosacea_2	Eucalyptus	Symphyomyrtus	Bisectae
E_rubida_canobolensis	Eucalyptus	Symphyomyrtus	Maidenaria
E_rubiginosa	Eucalyptus	Eucalyptus	'Primitiva' ms
E_rudis_cratyantha_1	Eucalyptus	Symphyomyrtus	Exsertaria
E_rudis_cratyantha_2	Eucalyptus	Symphyomyrtus	Exsertaria
E_rudis_cratyantha_3	Eucalyptus	Symphyomyrtus	Exsertaria
E_rugosa	Eucalyptus	Symphyomyrtus	Dumaria
E_rummeryi	Eucalyptus	Symphyomyrtus	Adnataria
E_rupestris_1	Eucalyptus	Symphyomyrtus	Platysperma
E_rupestris_2	Eucalyptus	Symphyomyrtus	Platysperma
E_sabulosa_x_E_ovata_ovata	Eucalyptus-H	Symphyomyrtus-H	Maidenaria-H
E_salmonophloia	Eucalyptus	Symphyomyrtus	Bisectae
E_salubris	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_sargentii_sargentii_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_sargentii_sargentii_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_sargentii_sargentii_3	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_scoparia	Eucalyptus	Symphyomyrtus	Maidenaria
E_scyphocalyx_1	Eucalyptus	Symphyomyrtus	Dumaria
E_scyphocalyx_2	Eucalyptus	Symphyomyrtus	Dumaria
E_sepulcralis	Eucalyptus	Eucalyptus	'Frutices' ms
E_sessilis	Eucalyptus	Symphyomyrtus	Bisectae
E_sheathiana_1	Eucalyptus	Symphyomyrtus	Dumaria
E_sheathiana_2	Eucalyptus	Symphyomyrtus	Dumaria
E_sheathiana_3	Eucalyptus	Symphyomyrtus	Dumaria
E_sheathiana_4	Eucalyptus	Symphyomyrtus	Dumaria
E_shirleyi	Eucalyptus	Symphyomyrtus	Adnataria
E_sicilifolia	Eucalyptus	Symphyomyrtus	Adnataria
E_sideroxylon	Eucalyptus	Symphyomyrtus	Adnataria
E_sieberi	Eucalyptus	Eucalyptus	Eucalyptus
E_socialis_socialis_1	Eucalyptus	Symphyomyrtus	Bisectae
E_socialis_socialis_2	Eucalyptus	Symphyomyrtus	Bisectae
E_socialis_socialis_3	Eucalyptus	Symphyomyrtus	Bisectae
E_socialis_victoriensis_1	Eucalyptus	Symphyomyrtus	Bisectae
E_socialis_victoriensis_2	Eucalyptus	Symphyomyrtus	Bisectae
E_socialis_viridans	Eucalyptus	Symphyomyrtus	Bisectae
E_sp	Eucalyptus	?	?
E_sp_Adelaide	Eucalyptus	Symphyomyrtus	Adnataria
E_sp_Cable_Haul_Road_1	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Cable_Haul_Road_2	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Dartmoor_1	Eucalyptus	Symphyomyrtus	Dumaria
E_sp_Dartmoor_2	Eucalyptus	Symphyomyrtus	Dumaria
E_sp_Dunbar_Road_1	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Dunbar_Road_2	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Great_Victoria_Desert_1	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Great_Victoria_Desert_2	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Great_Victoria_Desert_3	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Great_Victoria_Desert_4	Eucalyptus	Symphyomyrtus	Bisectae
