sequencing_id	project_id	folder_name	sample_id	species_name	genus	subgenus	section	series	subseries	species	subspecies	tip_label
1456660	1455180	Eucgrosequencing_6_FD	CCA5958	Eucalyptus grossa	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Obliquae		grossa		E_grossa_1
1456661	1455182	Eucgrosequencing_5_FD	CCA5959	Eucalyptus grossa	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Obliquae		grossa		E_grossa_2
1456697	1455254	Eucguisequencing_4_FD	CCA5923	Eucalyptus guilfoylei	Eucalyptus	Cruciformes				guilfoylei		E_guilfoylei_1
1456692	1455244	Eucguisequencing_5_FD	CCA5925	Eucalyptus guilfoylei	Eucalyptus	Cruciformes				guilfoylei		E_guilfoylei_2
1456964	1455788	Eucgypsequencing_4_FD	CCA0533	Eucalyptus gypsophila	Eucalyptus	Symphyomyrtus	Dumaria	Rufispermae		gypsophila		E_gypsophila_1
1457147	1456154	Eucgypsequencing_5_FD	CCA1483	Eucalyptus gypsophila	Eucalyptus	Symphyomyrtus	Dumaria	Rufispermae		gypsophila		E_gypsophila_2
1457152	1456164	Eucgypsequencing_6_FD	CCA1492	Eucalyptus gypsophila	Eucalyptus	Symphyomyrtus	Dumaria	Rufispermae		gypsophila		E_gypsophila_3
1456790	1455440	Euchalsequencing_4_FD	CCA0111	Eucalyptus halophila	Eucalyptus	Symphyomyrtus	Bisectae	Halophilae		halophila		E_halophila
1456915	1455690	Euchebsequencing_3_FD	CCA0398	Eucalyptus hebetifolia	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Levispermae	Levispermae	hebetifolia		E_hebetifolia
1456852	1455564	Euchissequencing_4_FD	CCA0258	Eucalyptus histophylla	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Levispermae	Levispermae	histophylla		E_histophylla_1
1457133	1456126	Euchissequencing_5_FD	CCA1445	Eucalyptus histophylla	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Levispermae	Levispermae	histophylla		E_histophylla_2
1456523	1454906	Euchorsequencing_14_FD	CCA5620	Eucalyptus horistes subsp. 'Southern smooth'								E_horistes_Southern_smooth_1
1456511	1454882	Euchorsequencing_13_FD	CCA5621	Eucalyptus horistes subsp. 'Southern smooth'								E_horistes_Southern_smooth_2
1457042	1455944	Euchorsequencing_10_FD	CCA1178	Eucalyptus horistes subsp. horistes	Eucalyptus	Symphyomyrtus	Bisectae	Porantherae		horistes	horistes	E_horistes_horistes_1
1456703	1455266	Euchorsequencing_12_FD	CCA5984	Eucalyptus horistes subsp. horistes	Eucalyptus	Symphyomyrtus	Bisectae	Porantherae		horistes	horistes	E_horistes_horistes_2
1456704	1455268	Euchorsequencing_11_FD	CCA5985	Eucalyptus horistes subsp. horistes	Eucalyptus	Symphyomyrtus	Bisectae	Porantherae		horistes	horistes	E_horistes_horistes_3
1456954	1455768	Euchypsequencing_2_FD	CCA0507	Eucalyptus hypolaena	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Decurrentes	hypolaena		E_hypolaena
1456862	1455584	Eucincsequencing_7_FD	CCA0281	Eucalyptus incerata	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Erectae	Abundae	incerata		E_incerata
1457041	1455942	Eucincsequencing_9_FD	CCA1177	Eucalyptus incrassata	Eucalyptus	Symphyomyrtus	Dumaria	Tetrapterae		incrassata		E_incrassata_1
1457045	1455950	Eucincsequencing_10_FD	CCA1186	Eucalyptus incrassata	Eucalyptus	Symphyomyrtus	Dumaria	Tetrapterae		incrassata		E_incrassata_2
1457054	1455968	Eucincsequencing_11_FD	CCA1231	Eucalyptus incrassata	Eucalyptus	Symphyomyrtus	Dumaria	Tetrapterae		incrassata		E_incrassata_3
1457279	1456418	Eucincsequencing_8_FD	CCA2927	Eucalyptus incrassata	Eucalyptus	Symphyomyrtus	Dumaria	Tetrapterae		incrassata		E_incrassata_4
1456795	1455450	Eucindsequencing_4_FD	CCA0121	Eucalyptus indurata	Eucalyptus	Symphyomyrtus	Bisectae	Balladonienses		indurata		E_indurata_1
1456796	1455452	Eucindsequencing_3_FD	CCA0122	Eucalyptus indurata	Eucalyptus	Symphyomyrtus	Bisectae	Balladonienses		indurata		E_indurata_2
1457191	1456242	Eucinfsequencing_FD	CCA1595	Eucalyptus infera	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Erythroxyla	infera		E_infera
1457223	1456306	Eucinssequencing_2_FD	CCA1670	Eucalyptus insulana	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Exsertae	insulana		E_insulana
1456558	1454976	Eucinssequencing_3_FD	CCA5718	Eucalyptus insularis subsp. continentalis	Eucalyptus	Eucalyptus	'Frutices' ms	Insulares		insularis	continentalis	E_insularis_continentalis
1457007	1455874	Eucintsequencing_5_FD	CCA0652	Eucalyptus intertexta	Eucalyptus	Symphyomyrtus	Adnataria	Buxeales	Subplatyphyllae	intertexta		E_intertexta_1
1457008	1455876	Eucintsequencing_4_FD	CCA0653	Eucalyptus intertexta	Eucalyptus	Symphyomyrtus	Adnataria	Buxeales	Subplatyphyllae	intertexta		E_intertexta_2
1456699	1455258	Eucjacsequencing_5_FD	CCA5906	Eucalyptus jacksonii	Eucalyptus	Eucalyptus	Longistylus	Jacksoniae		jacksonii		E_jacksonii_1
1456700	1455260	Eucjacsequencing_6_FD	CCA5907	Eucalyptus jacksonii	Eucalyptus	Eucalyptus	Longistylus	Jacksoniae		jacksonii		E_jacksonii_2
1457298	1456456	Eucjensequencing_FD	CCA2984	Eucalyptus jensenii	Eucalyptus	Symphyomyrtus	Adnataria	Siderophloiae		jensenii		E_jensenii
1456730	1455320	Eucjucsequencing_2_FD	CCA6044	Eucalyptus jucunda	Eucalyptus	Eudesmia	Limbatae	Heteropterae	Jucundae	jucunda		E_jucunda
1456966	1455792	Eucjutsequencing_2_FD	CCA0537	Eucalyptus jutsonii subsp. jutsonii	Eucalyptus	Symphyomyrtus	Bisectae	Micrantherae	Bakerianae	jutsonii	jutsonii	E_jutsonii_jutsonii
1456800	1455460	Euckessequencing_6_FD	CCA0129	Eucalyptus kessellii subsp. eugnosta	Eucalyptus	Symphyomyrtus	Bisectae	Falcatae	Rugatae	kessellii	eugnosta	E_kessellii_eugnosta_1
