file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
E_guilfoylei_1_R1	FASTQ	DNA	68928319	10294769433	49	149.4	150	150	150	150	0	150	1	97	91	25.06	41.21	53276
E_guilfoylei_1_R2	FASTQ	DNA	68928319	10294769433	49	149.4	150	150	150	150	0	150	1	95	88	23.49	41.33	16051
E_guilfoylei_2_R1	FASTQ	DNA	99380938	14768298187	49	148.6	150	150	150	150	0	150	1	96	91	24.85	42.66	76749
E_guilfoylei_2_R2	FASTQ	DNA	99380938	14768298187	49	148.6	150	150	150	150	0	150	1	95	89	23.82	42.72	22992
E_gypsophila_1_R1	FASTQ	DNA	7007431	1034084773	49	147.6	150	150	150	150	0	150	1	95	89	24.43	42.36	131556
E_gypsophila_1_R2	FASTQ	DNA	7007431	1034084773	49	147.6	150	150	150	150	0	150	1	94	87	23.72	42.9	39515
E_gypsophila_2_R1	FASTQ	DNA	36594519	5380039072	49	147	150	150	150	150	0	150	1	97	92	26.13	42.03	298155
E_gypsophila_2_R2	FASTQ	DNA	36594519	5380039072	49	147	150	150	150	150	0	150	1	96	91	25.47	42.45	95716
E_gypsophila_3_R1	FASTQ	DNA	9390759	1379313013	49	146.9	150	150	150	150	0	150	1	93	85	22.92	43.2	280496
E_gypsophila_3_R2	FASTQ	DNA	9390759	1379313013	49	146.9	150	150	150	150	0	150	1	91	81	22.02	43.79	157995
E_halophila_R1	FASTQ	DNA	97911035	14564665150	49	148.8	150	150	150	150	0	150	1	97	94	26.32	41.55	175948
E_halophila_R2	FASTQ	DNA	97911035	14564665150	49	148.8	150	150	150	150	0	150	1	96	91	24.61	41.64	18038
E_hebetifolia_R1	FASTQ	DNA	73169661	10898158207	49	148.9	150	150	150	150	0	150	1	98	94	26.76	40.2	84377
E_hebetifolia_R2	FASTQ	DNA	73169661	10898158207	49	148.9	150	150	150	150	0	150	1	97	92	25.28	40.27	70060
E_histophylla_1_R1	FASTQ	DNA	59686963	8892675030	49	149	150	150	150	150	0	150	1	97	93	26.15	42.23	130532
E_histophylla_1_R2	FASTQ	DNA	59686963	8892675030	49	149	150	150	150	150	0	150	1	96	92	24.97	42.29	53574
E_histophylla_2_R1	FASTQ	DNA	62926060	9330406121	49	148.3	150	150	150	150	0	150	1	98	94	26.44	42.2	81224
E_histophylla_2_R2	FASTQ	DNA	62926060	9330406121	49	148.3	150	150	150	150	0	150	1	96	92	24.92	42.22	60877
E_horistes_horistes_1_R1	FASTQ	DNA	31113904	4575655172	49	147.1	150	150	150	150	0	150	1	97	91	26.21	43.47	25023
E_horistes_horistes_1_R2	FASTQ	DNA	31113904	4575655172	49	147.1	150	150	150	150	0	150	1	95	90	24.79	43.13	14532
E_horistes_horistes_2_R1	FASTQ	DNA	57838865	8628255788	49	149.2	150	150	150	150	0	150	1	97	91	25.1	40.87	43090
E_horistes_horistes_2_R2	FASTQ	DNA	57838865	8628255788	49	149.2	150	150	150	150	0	150	1	94	88	23.17	40.97	12775
E_horistes_horistes_3_R1	FASTQ	DNA	63643396	9494211302	49	149.2	150	150	150	150	0	150	1	96	91	24.7	41.05	48365
E_horistes_horistes_3_R2	FASTQ	DNA	63643396	9494211302	49	149.2	150	150	150	150	0	150	1	94	88	23.16	41.24	14303
E_horistes_Southern_smooth_1_R1	FASTQ	DNA	75480946	11261647781	49	149.2	150	150	150	150	0	150	1	96	91	24.94	41.28	87088
E_horistes_Southern_smooth_1_R2	FASTQ	DNA	75480946	11261647781	49	149.2	150	150	150	150	0	150	1	96	90	24.2	41.3	77493
E_horistes_Southern_smooth_2_R1	FASTQ	DNA	95952980	14307726478	49	149.1	150	150	150	150	0	150	1	96	91	24.74	41.32	107460
E_horistes_Southern_smooth_2_R2	FASTQ	DNA	95952980	14307726478	49	149.1	150	150	150	150	0	150	1	95	88	23.25	41.43	97913
E_hypolaena_R1	FASTQ	DNA	84682916	12606629594	49	148.9	150	150	150	150	0	150	1	97	93	26.03	42.18	170552
E_hypolaena_R2	FASTQ	DNA	84682916	12606629594	49	148.9	150	150	150	150	0	150	1	95	90	23.92	42.38	52495
E_incerata_R1	FASTQ	DNA	59621369	8892695419	49	149.2	150	150	150	150	0	150	1	97	93	26.11	41.66	130040
